student_id,name,gender,age,grade_level,parental_education,study_hours_per_week,attendance_rate,internet_access,extracurricular_activities,test_prep_course,sleep_hours,previous_score,math_score,science_score,english_score,final_score,passed,risk_level,stem_average,overall_subject_avg,study_attendance_index,score_delta
STU10001,Abhinav Krishnan,Female,17,Grade 10,Some College,3.9,80.7,Yes,No,Not Completed,8.1,35.9,30.0,31.0,29.0,25.0,No,High,30.5,30.0,3.15,-10.9
STU10002,Dev Malhotra,Female,19,Grade 10,Some College,12.9,88.1,Yes,Yes,Not Completed,6.4,53.5,43.0,55.0,48.0,49.4,No,High,49.0,48.7,11.36,-4.1
STU10003,Kritika Menon,Female,15,Grade 10,Associate Degree,4.2,83.9,Yes,Yes,Not Completed,7.4,44.7,49.0,36.0,33.0,46.0,No,High,42.5,39.3,3.52,1.3
STU10004,Nisha Choudhary,Female,19,Grade 10,Some College,5.8,72.8,No,No,Completed,8.1,48.5,40.0,45.0,49.0,49.5,No,High,42.5,44.7,4.22,1.0
STU10005,Preeti Dubey,Male,16,Grade 11,Some College,7.2,68.8,Yes,No,Not Completed,7.3,48.2,48.0,70.0,41.0,52.0,Yes,High,59.0,53.0,4.95,3.8
STU10006,Kritika Dhawan,Female,16,Grade 12,High School,7.6,56.2,Yes,Yes,Not Completed,6.1,35.0,40.0,36.0,30.0,38.8,No,High,38.0,35.3,4.27,3.8
STU10007,Tara Rao,Male,16,Grade 10,Bachelor's Degree,15.7,85.7,Yes,No,Completed,6.6,52.4,52.0,48.0,49.0,53.5,Yes,High,50.0,49.7,13.45,1.1
STU10008,Tanvi Nair,Female,18,Grade 10,Some College,7.2,55.9,Yes,Yes,Completed,7.1,57.5,53.0,58.0,55.0,49.5,No,High,55.5,55.3,4.02,-8.0
STU10009,Nikhil Pandey,Male,15,Grade 12,Master's Degree,11.8,85.5,Yes,Yes,Completed,8.5,63.1,66.0,73.0,66.0,68.4,Yes,Medium,69.5,68.3,10.09,5.3
STU10010,Lavanya Dubey,Female,18,Grade 10,High School,6.4,92.6,Yes,Yes,Completed,7.9,44.7,44.0,53.0,33.0,47.7,No,High,48.5,43.3,5.93,3.0
STU10011,Neha Saxena,Male,19,Grade 10,High School,3.1,81.5,Yes,No,Not Completed,8.3,37.3,27.0,44.0,44.0,43.1,No,High,35.5,38.3,2.53,5.8
STU10012,Preeti Reddy,Female,16,Grade 11,High School,4.4,72.0,Yes,Yes,Completed,6.0,37.6,35.0,39.0,38.0,42.5,No,High,37.0,37.3,3.17,4.9
STU10013,Sneha Choudhary,Female,18,Grade 11,Bachelor's Degree,27.4,91.8,Yes,Yes,Not Completed,8.1,72.9,74.0,68.0,75.0,76.6,Yes,Low,71.0,72.3,25.15,3.7
STU10014,Lavanya Khan,Female,17,Grade 11,Some College,6.5,84.6,Yes,No,Not Completed,7.1,37.1,38.0,40.0,42.0,46.8,No,High,39.0,40.0,5.5,9.7
STU10015,Nisha Dhawan,Female,19,Grade 12,Some College,12.7,78.3,Yes,No,Not Completed,8.0,50.5,49.0,41.0,39.0,46.1,No,High,45.0,43.0,9.94,-4.4
