student_id,name,gender,age,grade_level,parental_education,study_hours_per_week,attendance_rate,internet_access,extracurricular_activities,test_prep_course,sleep_hours,previous_score,math_score,science_score,english_score,final_score,passed,risk_level
STU10001,Abhinav Krishnan,Female,17,Grade 10,Some College,3.9,80.7,Yes,No,Not Completed,8.1,35.9,30.0,31.0,29.0,25.0,No,High
STU10002,Dev Malhotra,Female,19,Grade 10,Some College,12.9,88.1,Yes,Yes,Not Completed,6.4,53.5,43.0,55.0,48.0,49.4,No,High
STU10003,Kritika Menon,Female,15,Grade 10,Associate Degree,4.2,83.9,Yes,Yes,Not Completed,7.4,44.7,49.0,36.0,33.0,46.0,No,High
STU10004,Nisha Choudhary,Female,19,Grade 10,Some College,5.8,72.8,No,No,Completed,8.1,48.5,40.0,45.0,49.0,49.5,No,High
STU10005,Preeti Dubey,Male,16,Grade 11,Some College,7.2,68.8,Yes,No,Not Completed,7.3,48.2,48.0,70.0,41.0,52.0,Yes,High
STU10006,Kritika Dhawan,Female,16,Grade 12,High School,7.6,56.2,Yes,Yes,Not Completed,6.1,35.0,40.0,36.0,30.0,38.8,No,High
STU10007,Tara Rao,Male,16,Grade 10,Bachelor's Degree,15.7,85.7,Yes,No,Completed,6.6,52.4,52.0,48.0,49.0,53.5,Yes,High
STU10008,Tanvi Nair,Female,18,Grade 10,Some College,7.2,55.9,Yes,Yes,Completed,7.1,57.5,53.0,58.0,55.0,49.5,No,High
STU10009,Nikhil Pandey,Male,15,Grade 12,Master's Degree,11.8,85.5,Yes,Yes,Completed,8.5,63.1,66.0,73.0,66.0,68.4,Yes,Medium
STU10010,Lavanya Dubey,Female,18,Grade 10,High School,6.4,92.6,Yes,Yes,Completed,7.9,44.7,44.0,53.0,33.0,47.7,No,High
STU10011,Neha Saxena,Male,19,Grade 10,High School,3.1,81.5,Yes,No,Not Completed,8.3,37.3,27.0,44.0,44.0,43.1,No,High
STU10012,Preeti Reddy,Female,16,Grade 11,High School,4.4,72.0,Yes,Yes,Completed,6.0,37.6,35.0,39.0,38.0,42.5,No,High
STU10013,Sneha Choudhary,Female,18,Grade 11,Bachelor's Degree,27.4,91.8,Yes,Yes,Not Completed,8.1,72.9,74.0,68.0,75.0,76.6,Yes,Low
STU10014,Lavanya Khan,Female,17,Grade 11,Some College,6.5,84.6,Yes,No,Not Completed,7.1,37.1,38.0,40.0,42.0,46.8,No,High
STU10015,Nisha Dhawan,Female,19,Grade 12,Some College,12.7,78.3,Yes,No,Not Completed,8.0,50.5,49.0,41.0,39.0,46.1,No,High
STU10016,Ishaan Dubey,Female,16,Grade 11,High School,4.7,63.0,Yes,No,Completed,7.1,35.0,28.0,39.0,29.0,34.7,No,High
STU10017,Siddharth Dhawan,Female,17,Grade 10,High School,24.0,89.2,Yes,Yes,Not Completed,7.5,59.4,68.0,55.0,55.0,62.5,Yes,Medium
STU10018,Dev Gupta,Male,18,Grade 11,Bachelor's Degree,2.7,64.4,Yes,Yes,Not Completed,7.5,41.9,33.0,40.0,28.0,31.6,No,High
STU10019,Vikram Agarwal,Male,16,Grade 12,High School,2.0,75.3,Yes,No,Not Completed,6.5,35.0,34.0,38.0,34.0,30.2,No,High
STU10020,Shreya Sheikh,Male,16,Grade 11,Associate Degree,15.1,84.7,No,Yes,Completed,7.3,57.0,53.0,52.0,51.0,57.1,Yes,Medium
STU10021,Kabir Iyer,Male,19,Grade 11,High School,13.0,92.7,Yes,No,Not Completed,8.0,41.3,31.0,35.0,47.0,46.7,No,High
STU10022,Kritika Sheikh,Male,16,Grade 10,Bachelor's Degree,6.1,70.8,No,Yes,Completed,7.4,46.8,45.0,50.0,40.0,54.8,Yes,High
STU10023,Kartik Ghosh,Female,15,Grade 10,Some College,14.6,84.0,Yes,No,Completed,7.0,65.1,71.0,60.0,64.0,67.8,Yes,Medium
STU10024,Diya Mehta,Male,19,Grade 10,High School,12.5,91.0,Yes,Yes,Completed,7.3,67.7,70.0,65.0,65.0,63.5,Yes,Medium
STU10025,Siddharth Jain,Male,19,Grade 11,High School,5.3,65.9,No,Yes,Completed,7.8,35.4,37.0,35.0,40.0,40.6,No,High
STU10026,Neha Sharma,Female,19,Grade 11,Associate Degree,8.2,54.7,No,Yes,Completed,9.4,37.1,29.0,32.0,28.0,29.0,No,High
STU10027,Deepika Rao,Female,17,Grade 11,Associate Degree,2.1,75.6,No,No,Completed,8.6,41.5,37.0,42.0,33.0,41.2,No,High
STU10028,Ishaan Pillai,Female,17,Grade 12,Bachelor's Degree,7.5,78.1,No,No,Not Completed,7.0,44.1,39.0,47.0,36.0,42.4,No,High
